,model,threshold,n_hosp_mode,n_prescription_mode,avg_max_unfairness_risk,avg_mean_unfairness_risk,initial_unfairness_risk,avg_max_gap_tpr,avg_mean_gap_tpr,initial_gap_tpr,avg_max_gap_fpr,avg_mean_gap_fpr,initial_gap_fpr,avg_max_gap_precision,avg_mean_gap_precision,initial_gap_precision,avg_max_gap_f1,avg_mean_gap_f1,initial_gap_f1,avg_max_gap_accuracy,avg_mean_gap_accuracy,initial_gap_accuracy,avg_utility_tpr,avg_utility_fpr,avg_utility_precision,avg_utility_f1,avg_utility_accuracy,n_traces
0,xgboost,0.3,expectation,expectation,0.034325577318668365,0.01860945113003254,0.0011719241738319397,0.11671846671846672,0.08354242424242424,0.10334110334110336,0.04514850559842658,0.02914355315191251,0.004772349190393904,0.03925185822939183,0.029811071002810365,0.036744219596716754,0.054176703948994945,0.04573518138970779,0.04128730900166255,0.04380838599445711,0.026333853409469275,1.127365334552266e-05,0.7541506591337098,0.22101487127221162,0.08184281536548778,0.1458201035279377,0.7784142090224262,10
1,xgboost,0.4,expectation,expectation,0.03418987989425659,0.01847929321229458,0.0011719241738319397,0.1292670292670293,0.1029998186998187,0.10787360787360789,0.04449389171345649,0.025983888964289104,1.8857076317359278e-05,0.052040318264309805,0.038508333916282146,0.03317493698929219,0.06168309698311002,0.05032190826246903,0.01910753938881249,0.0413550672087586,0.021946517366520396,0.005875366928780101,0.6714335216572505,0.1459822395533301,0.11190125557141291,0.18724188621487636,0.8498203307645685,10
2,xgboost,0.45,expectation,expectation,0.03406171873211861,0.018439335748553276,0.0011719241738319397,0.14125874125874124,0.11373237503237502,0.11344211344211344,0.03977287374417164,0.02206788158482864,0.0021698988606597136,0.0515677925314139,0.040602706683775705,0.023029144768275167,0.06340547062038,0.04700528125837723,0.00048245220357245877,0.035837783462298115,0.01820251256575268,0.008448894811207586,0.6325348399246704,0.11453424026232994,0.13311077232690652,0.21361626750760304,0.8796511299679626,10
3,xgboost,0.5,expectation,expectation,0.03403618186712265,0.0183720625936985,0.0011719241738319397,0.15840455840455842,0.13073128723128724,0.13403263403263396,0.041670123138999315,0.02268857570219502,0.0017892260762002836,0.06766176703375103,0.048400089700462376,0.012569533590072735,0.06839873904627711,0.049140655697081266,0.02376170250128956,0.036618370918507934,0.017988236473258805,0.008983428754459677,0.584132956685499,0.08898375504054594,0.15582327546592184,0.23789445607927676,0.9035015239414668,10
4,xgboost,0.55,expectation,expectation,0.03415365144610405,0.018200848251581192,0.0011719241738319397,0.17921522921522923,0.15064623154623155,0.12069412069412074,0.04561467511872374,0.022280846539738348,0.0006083638835876135,0.07385303827404299,0.05569230159096705,0.021673963759547443,0.07372993595382189,0.0466503685636521,0.022847293027849325,0.03885551890847884,0.017284177798294085,0.007926553896774435,0.5330248587570623,0.06580185226215271,0.18493499827104443,0.26525522411150426,0.9249755736427396,10
5,xgboost,0.6,expectation,expectation,0.03288606181740761,0.017619328573346138,0.0011719241738319397,0.19198394198394197,0.1518936544936545,0.11098161098161097,0.03876586952925564,0.015695386619043926,0.0011243699627235017,0.08403782229944264,0.0556388138379468,0.017565485362095512,0.07033568705569063,0.04013496960697814,0.030709891612147322,0.030811700930836017,0.012100244041437131,0.008461133055213788,0.4923348399246704,0.04661923162139407,0.22401936041152934,0.2986784630558641,0.9427817819724652,10
6,xgboost,0.7,expectation,expectation,0.03209766745567322,0.017359185963869095,0.0011719241738319397,0.18824138824138822,0.15421090391090392,0.14594664594664594,0.02137292866432018,0.005226483705890281,0.0009319756449049001,0.09385593022385277,0.037117010388270796,0.012757201646090566,0.08517074164360025,0.045683571554187154,0.08068783068783074,0.01240519505620764,0.007139894827665932,0.009524096891443845,0.4206105461393597,0.022614569947268133,0.3181662442409971,0.35770112035944174,0.9645857303662654,10
7,mlp,0.3,expectation,expectation,0.025477090477943422,0.014339149953424932,0.0038971900939941406,0.10631960631960635,0.05484335664335664,0.09764309764309764,0.032150120655268774,0.011212292917781409,0.00702160260974985,0.0249165509054859,0.017445673091437738,0.018687121571588222,0.03544151706057568,0.027036824064809183,0.016371290415186424,0.029506000869216786,0.012072311147768234,0.01178145004140807,0.7399156308851225,0.2610422298045819,0.07258457049201832,0.12975341065561855,0.7389797904580483,10
8,mlp,0.4,expectation,expectation,0.025010935284874657,0.01434061778404496,0.0038971900939941406,0.11680911680911678,0.0829532386805114,0.10670810670810672,0.017709761435900754,0.010824726451022112,0.011650355203486578,0.020208749241342246,0.013492502864143958,0.006097146263497555,0.029291367137626388,0.01946395902760469,0.022181710264128573,0.019736903293598642,0.01392973259020319,0.01741951259595642,0.6585262797466188,0.17400973263453878,0.0986332102659531,0.166417707910417,0.8221404371885798,11
9,mlp,0.45,expectation,expectation,0.02506985664367676,0.014571292398869989,0.0038971900939941406,0.12025382025382025,0.08433154623154623,0.10800310800310797,0.015481695996122096,0.010976828189204018,0.009601056312270017,0.019223610409452883,0.012902315402996781,0.010808893093661315,0.03427815523694292,0.019202379421043417,0.03120518203954742,0.018765015586880783,0.014777986353091906,0.01577200681941482,0.6189468926553673,0.13750460406788673,0.11641484212541978,0.18915701699918855,0.8568964585678414,10
